0,Country,Region,Renovation work,Material,Thickness [cm],Lambda [mK/W],Uw [W/m2K],Power [kW],Solar collector area [m2],Capacity [l],Price [€/m2],Price [€],Price [€/kW],"Source Author, Title, Year",Source link,,,,,
5,France,General,Condensing boiler,,,,,0.8,,,," 5,276.00 € "," 6,595.00 € ","Observatorie des batiments basse consommation. ""Les maisons renovees a basse consommation"". 2021",https://www.effinergie.org/web/images/attach/base_doc/2912/20210429etude-renovation.pdf#page=33.44,,,,,
5,France,General,PV,,,,,1,,,," 2,000.00 € "," 2,000.00 € ",Hello watt. Prix et rentabilité d’une installation solaire. 2025,https://www.hellowatt.fr/panneaux-solaires-photovoltaiques/,,,,,
5,France,General,Solar thermal panels,,,,,,,,," 11,582.00 € ", -   € ,"Observatorie des batiments basse consommation. ""Les maisons renovees a basse consommation"". 2021",https://www.effinergie.org/web/images/attach/base_doc/2912/20210429etude-renovation.pdf#page=33.44,,,,,
6,Denmark,General,Wall insulation ,MW,20,0.03,,,,, 302.42 € ,, -   € ,"Kragh, J., Rose, J., & Aggerholm, S. Cost-optimal levels of minimum energy performance requirements in the Danish Building Regulations (3). 2023 https://vbn.aau.dk/en/publications/b70d844a-bf8e-483a-8895-9f90f1100262",https://vbn.aau.dk/en/publications/b70d844a-bf8e-483a-8895-9f90f1100262,,,,,
6,Denmark,General,Wall insulation - additional,,,,,,,,,, -   € ,,,,,,,
6,Denmark,General,Roof insulation - Accessible,MW,30,0.036,,,,, 77.30 € ,, -   € ,byggefokus.dk. Isolering af tag: Guide & oversigt. 2025 ,https://byggefokus.dk/isolering-af-tag/,,,,,
6,Denmark,General,Roof insulation - Makeover,,,,,,,,,, -   € ,,,,,,,
6,Denmark,General,Floor insulation,XPS,25,0.034,,,,, 211.00 € ,, -   € ,Gulvlaegger.dk. Isolering af gulv: Prøv vores prisberegner for 2025 og få et fast tilbud. 2025,https://gulvlaegger.dk/isolering-af-gulv/#f1p2,,,,,
6,Denmark,General,Windows,,,,,,,, 801.00 € ,, -   € ,"Kragh, J., Rose, J., & Aggerholm, S. Cost-optimal levels of minimum energy performance requirements in the Danish Building Regulations (3). 2023",https://vbn.aau.dk/en/publications/b70d844a-bf8e-483a-8895-9f90f1100262,,,,,
6,Denmark,General,Air-water Heat Pump,,,,,13.5,,,," 18,520.00 € "," 1,371.85 € ","Jensen, S.Ø. and Svendsen, A., 2021. Heat as a Service – Evaluation of a Danish Support Scheme for Dissemination of a New Business Concept for Heat Pumps. Danish Energy Agency, Centre for Global Cooperation",https://ens.dk/media/6411/download,,,,,
6,Denmark,General,Condensing boiler,,,,,16,,,," 8,003.13 € ", 500.20 € ,"Kragh, J., Rose, J., & Aggerholm, S. Cost-optimal levels of minimum energy performance requirements in the Danish Building Regulations (3). 2023",https://vbn.aau.dk/en/publications/b70d844a-bf8e-483a-8895-9f90f1100262,,,,,
6,Denmark,General,PV,,,,,1.2,,,," 5,512.77 € "," 4,593.98 € ","Kragh, J., Rose, J., & Aggerholm, S. Cost-optimal levels of minimum energy performance requirements in the Danish Building Regulations (3). 2023",https://vbn.aau.dk/en/publications/b70d844a-bf8e-483a-8895-9f90f1100262,,,,,
6,Denmark,General,Solar thermal panels,,,,,,,200,," 7,955.94 € ", -   € ,"Kragh, J., Rose, J., & Aggerholm, S. Cost-optimal levels of minimum energy performance requirements in the Danish Building Regulations (3). 2023",https://vbn.aau.dk/en/publications/b70d844a-bf8e-483a-8895-9f90f1100262,,,,,
7,Greece,General,Wall insulation,EPS,7,0.035,,,,, 40.12 € ,, -   € ,?. ??????????? et al. ????????? ???????????? ????? ?????????? ??.??????? 14/2018. 2020,https://www.orestiada.gr/wp-content/uploads/2020/05/07a.TimologioEAKS.pdf,,,,,
7,Greece,General,Wall insulation - additional,,,,,,,,,, -   € ,,,,,,,
7,Greece,General,Roof insulation - Accessible,XPS,5,0.0345,,,,, 14.50 € ,, -   € ,79.46 ?????? ?????????? ????????? ??? ??????? ?????? ????. ??????? ?????? ???????? ????????????? ??????? ?.?.?.?.?. 20701-2/2017. ???????????? ????????? ??????? ?????? ??? ??????? ??? ?????????????? ????????? ??? ???????. 2017 ,http://www.kenak.gr/files/TOTEE_20701-2_2017.pdf,,,,,
7,Greece,General,Roof insulation - Makeover,XPS,5,0.0345,,,,, 154.35 € ,, -   € ,???????? ?? ???????? ????????? ???????? ??? ????????? ?????? ?????????? ????????. ?????????? ???????????? ?????????? ????????. 2017 ,https://search.et.gr/el/fek/?fekId=551745,,,,,
7,Greece,General,Floor insulation,MW,5,0.038,,,,, 93.20 € ,, -   € ,???????? ?? ???????? ????????? ???????? ??? ????????? ?????? ?????????? ????????. ?????????? ???????????? ?????????? ????????. 2017 https://search.et.gr/el/fek/?fekId=551745,https://search.et.gr/el/fek/?fekId=551745,,,,,
7,Greece,General,Windows,Al with TB,,,2.6,,,, 384.00 € ,, -   € ,???????? ?? ???????? ????????? ???????? ??? ????????? ?????? ?????????? ????????. ?????????? ???????????? ?????????? ????????. 2017 https://search.et.gr/el/fek/?fekId=551745,https://search.et.gr/el/fek/?fekId=551745,,,,,
7,Greece,General,Windows,Wood,,,2.8,,,, 173.00 € ,, -   € ,,,,,,,
7,Greece,General,Air-water Heat Pump,,,,,5,,,, 921.77 € , 184.35 € ,???????????? ???????????? ????????????. ????????? ???????????? ?????????? ??? ??????????? ????????? . 2017 https://www.auth.gr/wp-content/uploads/espa_kthniatrikh_2._timologio_1.pdf,https://www.auth.gr/wp-content/uploads/espa_kthniatrikh_2._timologio_1.pdf,,,,,
7,Greece,General,Condensing boiler,,,,,28,,,," 2,084.04 € ", 74.43 € ,???????????? ???????????? ????????????. ????????? ???????????? ????? ???????????? ??_??????? ??? 01-2020. 2021 ,https://thessaloniki.gr/wp-content/uploads/2021/05/2021-077_%CE%A4%CE%99%CE%9C%CE%9F%CE%9B%CE%9F%CE%93%CE%99%CE%9F-%CE%9C%CE%95%CE%9B%CE%95%CE%A4%CE%97%CE%A3.pdf,,,,,
7,Greece,General,PV,,,,,20,,,," 19,850.00 € ", 992.50 € ,,,,,,,
7,Greece,General,Solar thermal panels,,,,,,,200,," 1,083.24 € ", -   € ,???????????? ???????????? ????????????. ????????? ???????????? ?????????? ??? ???? ???????????. 2021 ,https://www.auth.gr/wp-content/uploads/2.-sign-%CE%A4%CE%99%CE%9C%CE%9F%CE%9B%CE%9F%CE%93%CE%99%CE%9F-%CE%94%CE%97%CE%9C%CE%9F%CE%A0%CE%A1%CE%91%CE%A4%CE%97%CE%A3%CE%97%CE%A3.pdf  ,,,,,
8,Italy,Lombardia,Wall insulation,MW,5,0.036,,,,, 93.49 € ,, -   € ,"Regione Lombardia. ""Prezzario regionale dei lavori pubblici"". 2024 ",https://www.regione.lombardia.it/wps/wcm/connect/fbd4093d-f598-44f6-954b-dd5fd58b1cff/A%29+Parte1.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-fbd4093d-f598-44f6-954b-dd5fd58b1cff-oUt-93w,,,,,
8,Italy,Lombardia,Wall insulation - additional,,2,0.036,,,,, 4.81 € ,, -   € ,"Regione Lombardia. ""Prezzario regionale dei lavori pubblici"". 2024 ",https://www.regione.lombardia.it/wps/wcm/connect/fbd4093d-f598-44f6-954b-dd5fd58b1cff/A%29+Parte1.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-fbd4093d-f598-44f6-954b-dd5fd58b1cff-oUt-93w,,,,,
8,Italy,Lombardia,Roof insulation - Accessible,PUR,6,0.026,,,,, 31.98 € ,, -   € ,"Regione Lombardia. ""Prezzario regionale dei lavori pubblici"". 2024 ",https://www.regione.lombardia.it/wps/wcm/connect/fbd4093d-f598-44f6-954b-dd5fd58b1cff/A%29+Parte1.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-fbd4093d-f598-44f6-954b-dd5fd58b1cff-oUt-93w,,,,,
